id,Count,Angle,Easting,Northing,longitude,latitude
1,1,311,529160,181014,-0.140078705,51.51329576
2,1,311,529187,180981,-0.139701912,51.51299304
3,2,216,529190,181046,-0.139634906,51.51357649
4,2,216,529183,181041,-0.139737556,51.51353315
5,1,126,529210,181037,-0.139350145,51.51349104
6,1,126,529226,181015,-0.139127757,51.51328967
7,1,38,529221,180983,-0.13921149,51.51300324
8,1,38,529212,180976,-0.139343677,51.51294239
9,1,126,529202,180996,-0.13948038,51.51312441
10,1,306,529210,181057,-0.139342821,51.51367077
11,1,306,529216,181047,-0.139260066,51.51357953
12,2,306,529231,181027,-0.139051349,51.51339637
13,2,218,529214,180967,-0.139318167,51.51286105
14,8,218,529223,180974,-0.13918598,51.5129219
15,2,218,529233,180982,-0.139039024,51.51299151
16,1,218,529238,180986,-0.138965546,51.51302632
17,1,125,529261,180967,-0.138641245,51.51285031
18,1,305,529276,180963,-0.138426671,51.51281094
19,1,129,529273,180904,-0.138491494,51.51228141
20,1,125,529292,180926,-0.138209787,51.51247477
21,1,125,529300,180916,-0.138098231,51.51238308
22,4,305,529307,180918,-0.137996681,51.51239945
23,1,305,529303,180923,-0.138052459,51.5124453
24,1,305,529299,180929,-0.13810787,51.51250013
25,1,304,529298,180871,-0.138143525,51.51197913
26,2,36,529323,180856,-0.137788964,51.51183862
27,1,37,529319,180914,-0.137825318,51.51236076
28,1,37,529330,180922,-0.137663959,51.51243014
29,3,34,529334,180925,-0.13760525,51.51245618
30,1,217,529330,180912,-0.137667624,51.51234027
31,1,126,529344,180909,-0.13746709,51.51231011
32,1,306,529349,180914,-0.137393245,51.5123539
33,1,306,529353,180907,-0.137338201,51.51229008
34,2,128,529375,180931,-0.137012549,51.51250072
35,2,35,529360,180945,-0.137223454,51.51262997
36,1,30,529368,180949,-0.137106767,51.51266409
37,1,298,529352,180948,-0.137337574,51.51265876
38,1,298,529348,180953,-0.137393352,51.51270461
39,2,298,529345,180958,-0.137434726,51.51275023
40,1,118,529337,180956,-0.13755068,51.51273408
41,2,298,529337,180973,-0.137544449,51.51288686
42,1,118,529324,180976,-0.137730583,51.51291679
43,4,206,529331,180989,-0.137625,51.51303202
44,3,206,529341,180994,-0.137479141,51.51307466
45,2,206,529346,180996,-0.137406395,51.51309149
46,3,206,529351,180999,-0.137333282,51.51311731
47,2,116,529315,180992,-0.137854343,51.51306263
48,4,116,529312,180998,-0.137895352,51.51311724
49,1,116,529308,181005,-0.137950398,51.51318106
50,4,296,529319,181009,-0.137790502,51.51321449
51,1,296,529316,181015,-0.137831511,51.5132691
52,1,296,529313,181021,-0.137872521,51.51332371
53,2,296,529310,181026,-0.137913897,51.51336933
54,3,296,529308,181032,-0.137940503,51.5134237
55,4,297,529303,181040,-0.138009586,51.51349674
56,2,26,529335,181008,-0.137560425,51.51320185
57,2,116,529298,181021,-0.138088562,51.51332714
58,2,210,529289,181023,-0.138217454,51.51334717
59,3,210,529283,181019,-0.138305336,51.51331259
60,1,210,529277,181016,-0.138392851,51.513287
61,2,30,529279,181027,-0.138360016,51.5133854
62,1,30,529287,181032,-0.138242962,51.5134285
63,3,116,529273,181008,-0.138453393,51.51321602
64,1,116,529276,181003,-0.138412017,51.5131704
65,4,116,529280,180997,-0.138356604,51.51311557
66,2,116,529286,180987,-0.138273852,51.51302433
67,1,116,529289,180983,-0.13823211,51.5129877
68,1,34,529256,181001,-0.138700804,51.513157
69,1,214,529258,181011,-0.138668335,51.51324641
70,1,206,529366,181007,-0.137114309,51.51318577
71,4,207,529373,181011,-0.137012023,51.51322012
72,18,207,529381,181015,-0.136895335,51.51325423
73,3,207,529387,181018,-0.136807819,51.51327982
74,4,207,529393,181020,-0.136720669,51.51329642
75,1,117,529399,181021,-0.136633886,51.51330403
76,5,117,529407,181005,-0.136524532,51.51315842
77,2,117,529418,180985,-0.136373438,51.51297617
78,1,32,529412,180975,-0.136463521,51.51288767
79,2,32,529407,180972,-0.136536634,51.51286186
80,1,32,529400,180968,-0.136638919,51.51282751
81,1,30,529395,180965,-0.136712032,51.5128017
82,1,30,529385,180959,-0.136858258,51.51275006
83,1,30,529376,180954,-0.136989714,51.51270719
84,1,212,529419,180968,-0.13636527,51.51282316
85,1,128,529399,180952,-0.136659189,51.51268395
86,1,128,529403,180945,-0.136604146,51.51262013
87,1,128,529414,180928,-0.136451953,51.51246484
88,1,128,529417,180922,-0.136410946,51.51241023
89,1,128,529422,180912,-0.136342602,51.51231922
90,4,128,529448,180874,-0.135982079,51.51197178
91,3,308,529464,180873,-0.135752009,51.51195913
92,1,299,529458,180879,-0.135836221,51.51201442
93,2,308,529455,180884,-0.135877594,51.51206004
94,1,308,529442,180904,-0.136057488,51.51224275
95,2,308,529436,180913,-0.136140601,51.51232501
96,1,308,529433,180919,-0.136181607,51.51237961
97,1,308,529430,180924,-0.136222981,51.51242523
98,1,308,529420,180943,-0.136360037,51.51259827
99,1,308,529415,180951,-0.136429115,51.51267131
100,1,297,529434,180977,-0.13614593,51.51290061
101,1,306,529438,180970,-0.136090888,51.51283679
102,4,126,529430,180966,-0.136207576,51.51280267
103,1,126,529434,180961,-0.136151799,51.51275682
104,3,126,529440,180953,-0.136068319,51.51268356
105,2,126,529444,180948,-0.136012543,51.51263771
106,1,126,529452,180938,-0.135900991,51.51254601
107,2,306,529460,180938,-0.135785771,51.51254418
108,1,126,529480,180898,-0.135512399,51.51218013
109,1,126,529485,180893,-0.135442222,51.51213405
110,1,306,529486,180904,-0.135423783,51.51223268
111,1,306,529504,180882,-0.135172614,51.51203085
112,1,126,529518,180892,-0.134967312,51.51211751
113,1,306,529516,180900,-0.13499318,51.51218986
114,1,42,529545,180899,-0.134575879,51.51217423
115,1,122,529545,180888,-0.134579917,51.51207538
116,1,43,529545,180861,-0.134589829,51.51183274
117,2,288,529541,181307,-0.134483697,51.51584171
118,1,24,529506,181266,-0.135002869,51.51548128
119,1,297,529488,181234,-0.135273875,51.51519782
120,1,117,529477,181228,-0.135434513,51.51514642
121,1,118,529433,181189,-0.136082566,51.51480602
122,1,209,529452,181219,-0.135797898,51.51507127
123,1,294,529410,181254,-0.136389998,51.51539541
124,2,209,529467,181181,-0.135595793,51.51472634
125,1,27,529417,181167,-0.136321086,51.51461197
126,2,27,529407,181163,-0.136466585,51.51457831
127,1,207,529436,181165,-0.136048161,51.51458965
128,1,207,529430,181162,-0.13613568,51.51456406
129,1,207,529423,181158,-0.136237969,51.51452972
130,1,29,529416,181136,-0.13634686,51.51433361
131,2,29,529422,181139,-0.136259341,51.5143592
132,1,118,529468,181124,-0.135602305,51.51421387
133,2,118,529461,181137,-0.135698356,51.5143323
134,1,118,529458,181144,-0.135738997,51.51439589
135,1,298,529462,181156,-0.135676982,51.51450282
136,2,299,529484,181117,-0.135374426,51.5141473
137,1,298,529478,181126,-0.135457541,51.51422955
138,1,298,529468,181146,-0.135594233,51.51441158
139,1,298,529470,181140,-0.135567628,51.5143572
140,3,119,529473,181113,-0.135534327,51.51411387
141,5,119,529480,181101,-0.135437909,51.51400443
142,2,29,529452,181115,-0.135836055,51.51413665
