id,Easting,Northing,longitude,latitude
1,529208,180667,-0.139514425,51.51016641
2,529296,180796,-0.138199809,51.51130559
3,529191,181078,-0.139608787,51.51386383
4,529181,181192,-0.139711078,51.5148906
5,529180,181353,-0.139666532,51.51633769
6,529309,181388,-0.137795627,51.51662274
7,529440,181329,-0.13593038,51.51606255
8,529524,181353,-0.134711668,51.51625899
9,529395,181026,-0.136689663,51.51334988
10,529452,180825,-0.135942444,51.51153051
11,529593,180668,-0.133969395,51.51008731
12,529610,180895,-0.133641196,51.51212339
13,529745,180923,-0.131686588,51.51234407
